Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3,place_id
A Night Full of Rain,1978,Embarcadero Freeway,"Embarcadero Freeway, which was featured in the film was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake)",Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,,ChIJ0ddkIdiGj4ARdbhmjb_nkhY
A Night Full of Rain,1978,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,,ChIJN2S4EI2AhYAR9J4Qeh1U8Aw
A Night Full of Rain,1978,San Francisco Chronicle (901 Mission Street at 15th Street),The San Francisco Zodiac Killer of the late 1960s sent his notes and letters to the Chronicle's offices.,Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,,ChIJBREuvYaAhYARyHJGLb4oXXE
A Night Full of Rain,1978,Broadway (North Beach),,Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,,ChIJ__fUys-AhYARyM2wEFZictQ
A Smile Like Yours,1997,75 California Street,,Paramount Pictures,Paramount Pictures,Keith Samples,Keith Samples & Kevin Meyer,Greg Kinnear,Lauren Holly,,Ei43NSBDYWxpZm9ybmlhIFN0LCBTYW4gRnJhbmNpc2NvLCBDQSA5NDExMSwgVVNBIhoSGAoUChIJ2ZXuZmGAhYARsqjfSgIWxKcQSw
A Smile Like Yours,1997,Grace Cathedral Episcopal Church (1100 California Street),Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Paramount Pictures,Paramount Pictures,Keith Samples,Keith Samples & Kevin Meyer,Greg Kinnear,Lauren Holly,,ChIJg2Kun5KAhYARg0g3AF1jbQQ
A Smile Like Yours,1997,Hills Brothers Plaza (Embarcadero at Harrison Street),,Paramount Pictures,Paramount Pictures,Keith Samples,Keith Samples & Kevin Meyer,Greg Kinnear,Lauren Holly,,ChIJm-rUoHqAhYARg-AHkX9xgtM,ChIJzfVGZXCAhYARE1jwUSIxvbk
A Smile Like Yours,1997,San Francisco International Airport,SFO has a museum dedicated to aviation history. ,Paramount Pictures,Paramount Pictures,Keith Samples,Keith Samples & Kevin Meyer,Greg Kinnear,Lauren Holly,,ChIJVVVVVYx3j4ARP-3NGldc8qQ
A View to a Kill,1985,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,ChIJY-bqepmAhYARSk9Xg_9tcLI,ChIJx0IToLGAj4ARDZRy0wE53Aw,ChIJk0BNgYKChYAR07s__gj4Mkk,ChIJfW9lsm18j4ARlqMzd3GMyew,ChIJHzlSglOEhYARe0AYeMHI1OU,ChIJD68LHxV-hYARbrsIqUJ5v5U,ChIJad3vsFB8j4AR4n-DSE55y6M,ChIJA5jJW0Z4j4ARIbEdb5Pe8t0,ChIJWcg3frGahYARBqZdudAziLQ,ChIJuRZzQYaahYARaPsRcV6pjUY,ChIJ_____yOBj4ARdytYLUBelnI,ChIJq6oaapl-hYAR-xPtXYFCmBo,ChIJezVrjzJ5hYARrrwGFehstHY,ChIJFwZtiPB7j4ARnNdxTNWXqzE,ChIJqw8_rIuEhYARzrA5ddcrjbY,ChIJV3vgraZ3j4ARMkp7967XN6w,ChIJ87ubltl5j4ARqSpzSfkE93g,ChIJbdxdj_N9j4ARpb2vZRn0b-8,ChIJuVRboWSHj4ARTiAZK_acZY8,ChIJN-eISFV6j4ARzKWY-TOJZlE
A View to a Kill,1985,Port of San Francisco ,,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,ChIJw3D8L2eAhYARJo9n9osiGDg,ChIJVVVVVYx3j4ARP-3NGldc8qQ,ChIJPXfpnvmAhYAR0Z1jIQHkNz8,ChIJ0VHvBGCAhYARfS31GArRNQQ,ChIJ1bz_d2aAhYARWPPewWellyo,ChIJBwPcVdt_j4ARF224cb2vLR4,ChIJdVGlrp6AhYARdwrPtdrA8pU,ChIJKVvQjGaAhYARWS4DVKNy8NA,ChIJbYGxcPmAhYARyqV2b6UVbZY
