Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3,place_id
Chance- Season 1 ep102,2016,"State Garage, 818 Leavenworth",,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham ,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJ85iMNpKAhYAR0v5x246PD_s
Chance- Season 1 ep103,2016,60 Leavenworth St.,,TVM Productions,HULU,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJB2Ul2JqAhYARS8R8XrfbfbA
Chance- Season 1 ep103,2016,"Blue Danube Café, 306 Clement",,TVM Productions,HULU,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJVYlq5juHhYARzZmKmtidibg
Chance- Season 1 ep103,2016,"San Francisco Art Institute, 800 Chestnut",,TVM Productions,HULU,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJ5WLIyuWAhYARbzm2ZWKavPY
Chance- Season 1 ep103,2016,Laguna Honda Hospital,,TVM Productions,HULU,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJpY9AceV9j4ARw6KjgSWbio4,ChIJn_WSbe99j4ARdwaAGSrNmgc,ChIJn_WSbe99j4AR3Bfnr5HeKDc
Chance- Season 1 ep103,2016,350 Santa Ana Ave.,,TVM Productions,HULU,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJc8e5nsd9j4ARP8S5IFj4UAI
Chance- Season 1 ep103,2016,878-898 Chestnut St.,,TVM Productions,HULU,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJCbZm0uWAhYARstLcPX3-q7Y
Chance- Season 1 ep103,2016,Forrest Hill Muni Station,A Muni station agent played himself in this scene.,TVM Productions,HULU,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJRVdtg-99j4ARgsG6smoN6z8
Chance- Season 1 ep103,2016,60 Potomac,,TVM Productions,HULU,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJ4_TDBqeAhYARcObzB22UFgY
Chance- Season 1 ep103,2016,"The Drew School, 2901 California",,TVM Productions,HULU,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJa8sylcuAhYARwamJ1i96qyo
Chance- Season 1 ep103,2016,San Bruno and Alameda,,TVM Productions,HULU,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJOSmpLuR5j4AR0u9gOcikHdo
Chance- Season 1 ep103,2016,17th and Arkansas,,TVM Productions,HULU,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,EjMxN3RoIFN0ICYgQXJrYW5zYXMgU3QsIFNhbiBGcmFuY2lzY28sIENBIDk0MTA3LCBVU0EiZiJkChQKEgmlB5OJzH-PgBE_Fjbd_BqyoBIUChIJpQeTicx_j4ARPxY23fwasqAaFAoSCWMODxYjfo-AEVimo8oMXsA2GhQKEglpgihhyn-PgBEMB3fwolBEBiIKDaF8ghYVIHALtw
Chance- Season 1 ep104,2016,Bush and Sansome St.,,TVM Productions,HULU,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee,EjJCdXNoIFN0ICYgU2Fuc29tZSBTdCwgU2FuIEZyYW5jaXNjbywgQ0EgOTQxMDQsIFVTQSJmImQKFAoSCbFN9w1igIWAETY6Rbg20ozvEhQKEgmxTfcNYoCFgBE2OkW4NtKM7xoUChIJ2TM-cpWAhYARPxb8yU5_dUEaFAoSCdMgM2b1gIWAEVZd_1-s1bP-IgoNQnqGFhVvHwu3
Chance- Season 1 ep104,2016,"Bayview Police Station, 201 Williams Ave.",,TVM Productions,HULU,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJJf7v6hx_j4ARjbbx8ediy-Y
Chance- Season 1 ep104,2016,Miraloma Mall at Portola Frontage Road,,TVM Productions,HULU,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee
Chance- Season 1 ep104,2016,1018 Tennessee St.,,TVM Productions,HULU,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJCfzy27l_j4ARQMEMDZXBm1g
Chance- Season 1 ep104,2016,901/909Tennessee St.,,TVM Productions,HULU,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee
Chance- Season 1 ep104,2016,11 San Jacinto Ave.,,TVM Productions,HULU,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJfYsD-8N9j4ARlYC9aQNfX8Y
Chance- Season 1 ep104,2016,Palace of Fine Arts,"The Palace of Fine Arts was designed by Bernard Maybeck and was originally constructed for the 1915 Panama-Pacific Exposition.  It has been in films such as Time After Time, The Room, Twisted, So I Married An Axe Murderer and The Rock.",TVM Productions,HULU,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJRb6WFtWGhYARLN9EOlXR2JI
Chance- Season 1 ep104,2016,"Agua Vista Park at Mission Rock, 817 Terry A Francois Blvd.",,TVM Productions,HULU,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJryemAsd_j4AR60urAIzz6Dc
Chance- Season 1 ep104,2016,200 Kansas St.,,TVM Productions,HULU,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJj5N2fTJ-j4ARvnXGO8YC5lg
Chance- Season 1 ep104,2016,15th St. between Vermont and Kansas,,TVM Productions,HULU,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee
Chance- Season 1 ep106,2016,Washington Square Park,,TVM Productions,HULU,Sara Gran,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJoYiOqfGAhYAR8J-KiogVyCQ
Chance- Season 1 ep106,2016,Grant between Union and Green,,TVM Productions,HULU,Sara Gran,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJURHZVfGAhYAR3lemKVtlnmA
Chance- Season 1 ep106,2016,60 Leavenworth St.,,TVM Productions,HULU,Sara Gran,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJB2Ul2JqAhYARS8R8XrfbfbA
Chance- Season 1 ep106,2016,Montgomery between Pacific and Broadway,,TVM Productions,HULU,Sara Gran,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJD6pWA_eAhYARKOkTS7Mln7w
Chance- Season 1 ep106,2016,Treasure Island,"From the late 1980s, Treasure Island's old aircraft Hangar 2 (Building 2) and Hangar 3 (Building 3) served as sound stages for film-making and TV, including  Rent, The Pursuit of Happyness, Flubber, What Dreams May Come, Patch Adams, The Parent Trap, Bicentennial Man and the TV series Trauma.",TVM Productions,HULU,Sara Gran,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJCWr8ITOAhYAR3oQ9G7Vgt9o
Chance- Season 1 ep106,2016,2 Rowland,,TVM Productions,HULU,Sara Gran,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJZ-BW_PSAhYARrcHXtuUrMOc,EigyIFJvd2xhbmQgQ3QsIFNhbiBBbnNlbG1vLCBDQSA5NDk2MCwgVVNBIhoSGAoUChIJ27GnDBqXhYARaeMiuVhbZlUQAg
Chance- Season 1 ep106,2016,McAllister between Leavenworth and Hyde,,TVM Productions,HULU,Sara Gran,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJz3oI4ZqAhYARYviYtbeKIFQ
Chance- Season 1 ep107,2016,"Punjab Café, 838 24th St.",,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJL2nfFkl-j4ARoaPh0aR_D8c
Chance- Season 1 ep107,2016,60 Potomac,,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJ4_TDBqeAhYARcObzB22UFgY
Chance- Season 1 ep107,2016,Buena Vista betweeen Upper Terrace and Java St.,,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee
Chance- Season 1 ep107,2016,157 Commonwealth,,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJtVMbBjeHhYARNtkEStoZSDY
Chance- Season 1 ep107,2016,1461 Page St.,,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJNYtW5KyAhYARdiBt86Tgt1o
Chance- Season 1 ep107,2016,1958 Valencia St.,,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,Ei4xOTU4IFZhbGVuY2lhIFN0LCBTYW4gRnJhbmNpc2NvLCBDQSA5NDExMCwgVVNBIhsSGQoUChIJ63YFvEN-j4ARrTbJ8wUf_0sQpg8
Chance- Season 1 ep107,2016,145 Barlett St.,,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJ99t_Oz9-j4ARMiGTvt1zjZo
Chance- Season 1 ep108,2016,Huntington Park,,TVM Productions,HULU,Peter Elkoff and Victoria Morrow,Andrew Bernstein,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJhcU5VjDJwoARDNU_kUzPP0w
Faces of Death,1978,,,F.O.D Productions,Aquarius Releasing,Conan Le Cilaire,Alan Black,Michael Carr,,,None
Chance- Season 1 ep108,2016,Fairmont Hotel,"The Fairmont Hotel was featured in many films, including The Rock and the TV series Hotel",TVM Productions,HULU,Peter Elkoff and Victoria Morrow,Andrew Bernstein,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJN2S4EI2AhYAR9J4Qeh1U8Aw,ChIJvXl2weCAhYARzPGrri9s2Ok,ChIJUZZ3F7Z9hYARjWG2iXRboAk
Chance- Season 1 ep108,2016,1000 Mason St.,,TVM Productions,HULU,Peter Elkoff and Victoria Morrow,Andrew Bernstein,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJC_whO42AhYARKYUogTfJ7B4
Chance- Season 1 ep108,2016,St. Mary's Square Park,,TVM Productions,HULU,Peter Elkoff and Victoria Morrow,Andrew Bernstein,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJubgLT2F-j4ARzcH2wmv2HsA
Chance- Season 1 ep109,2016,Terry A. Francois Blvd. ,,TVM Productions,HULU,Sara Gran and Pete Begler,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJC6hU-cZ_j4AR9wfl-SJe0xo
Chance- Season 1 ep109,2016,2 Rowland,,TVM Productions,HULU,Sara Gran and Pete Begler,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJZ-BW_PSAhYARrcHXtuUrMOc,EigyIFJvd2xhbmQgQ3QsIFNhbiBBbnNlbG1vLCBDQSA5NDk2MCwgVVNBIhoSGAoUChIJ27GnDBqXhYARaeMiuVhbZlUQAg
Chance- Season 1 ep109,2016,Ocean Park Motel,,TVM Productions,HULU,Sara Gran and Pete Begler,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJg5Bu-G99j4ARNvzoyQNrsWs
Chance- Season 1 ep109,2016,"Cliffhouse, 1090 Point Lobos Ave.",,TVM Productions,HULU,Sara Gran and Pete Begler,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJ7dtznbWHhYAR81fEwzi58F4
Chance- Season 1 ep109,2016,850 Bryant- 6th floor County Jail,The former County Jail on the 6th floor was re-created to resemble a Mexican jail for the scene,TVM Productions,HULU,Sara Gran and Pete Begler,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJgbnk8Cp-j4ARqppEXyK8cv0,ChIJj50yRCp-j4ARvjPjsiuas-o
Chance- Season 1 ep109,2016,60 Leavenworth St.,,TVM Productions,HULU,Sara Gran and Pete Begler,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJB2Ul2JqAhYARS8R8XrfbfbA
Chance- Season 1 ep110,2016,San Francisco General Hospital,,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJG9bTskt-j4ARBhzzHMYn48c
Chance- Season 1 ep110,2016,1901 Ocean Ave. at Ashton Ave.,,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJfQqpGcx9j4ARhUlUb51kGqc
Chance- Season 1 ep110,2016,1 Urbano,,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJGyFVCMx9j4ARItRdpXcdxKs
Chance- Season 1 ep110,2016,18 Urbano,,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJj5aMD8x9j4ARC26Lq-I9ESU
Chance- Season 1 ep110,2016,Ocean Park Motel,,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJg5Bu-G99j4ARNvzoyQNrsWs
Chance- Season 1 ep110,2016,"Cliffhouse, 1090 Point Lobos Ave.",,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,ChIJ7dtznbWHhYAR81fEwzi58F4
Chance Season 2,2017,Marina Blvd between Baker and Fillmore St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,ChIJgdfmyLmAhYARS6fhSFcVbcY
Chance Season 2,2017,Jefferson St at Taylor St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,EjZKZWZmZXJzb24gU3QgJiBUYXlsb3IgU3QsIFNhbiBGcmFuY2lzY28sIENBIDk0MTMzLCBVU0EiZiJkChQKEgmVXFem44CFgBGBsTpgyGL8BBIUChIJlVxXpuOAhYARgbE6YMhi_AQaFAoSCVuyprLYgIWAEexhkwj5ZbsAGhQKEgnJqpCB7YCFgBGgG70pFtyhMiIKDaYTiRYVf9QItw
Chance Season 2,2017,"Taylor St, north of Jefferson St to end",,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,ChIJK7IwCOOAhYARQ-qr8vGLUJ8
Chance Season 2,2017,Haight St at Ashbury St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,EjRIYWlnaHQgU3QgJiBBc2hidXJ5IFN0LCBTYW4gRnJhbmNpc2NvLCBDQSA5NDExNywgVVNBImYiZAoUChIJj1KuM1OHhYARo4SAhyYYsM8SFAoSCY9SrjNTh4WAEaOEgIcmGLDPGhQKEgnpfS7TqICFgBHFQo-a4wvCbxoUChIJD89BTFOHhYARwZTedtEXQCMiCg10P4MWFY8TBLc
Chance Season 2,2017,Central St between Haight and Page St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,ChIJN15miqyAhYAR6m_QEHupJkg,ChIJBRvrsqGAhYARD9smcDL5Pjk,ChIJZUBNiqyAhYARSmz8fd6wn7I
Chance Season 2,2017,Waller St between Masonic and Del Mar St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
Chance Season 2,2017,Market St at Embarcadero,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,ChIJW3Lu1wt-j4ARfDdRUtR0nAY
Chance Season 2,2017,Embarcadero between Harrison and Folsom St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,ChIJm-rUoHqAhYARg-AHkX9xgtM
Chance Season 2,2017,Embarcadero at Lombard St. ,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,Ej5Mb21iYXJkIFN0cmVldCAmIFRoZSBFbWJhcmNhZGVybywgU2FuIEZyYW5jaXNjbywgQ0EgOTQxMTEsIFVTQSJmImQKFAoSCSnUPsX3gIWAEUBoo71Vq8MIEhQKEgkp1D7F94CFgBFAaKO9VavDCBoUChIJl62Bq92AhYARrLLC3ZcLL8QaFAoSCb_XfJmKgIWAEZILwTH3e491IgoNLHaIFhVb5Qq3
Chance Season 2,2017,Union St at Leavenworth St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,EjdMZWF2ZW53b3J0aCBTdCAmIFVuaW9uIFN0LCBTYW4gRnJhbmNpc2NvLCBDQSA5NDEwOSwgVVNBImYiZAoUChIJB4qRJO-AhYARW8NtYL8NmcwSFAoSCQeKkSTvgIWAEVvDbWC_DZnMGhQKEgk9NkxY7ICFgBEdts9KQ7zUOBoUChIJNxZNGuiAhYARVH9PBXZctawiCg27u4cWFQWVCLc
Chance Season 2,2017,Lombard St between Leavenworth and Hyde St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,ChIJTcHeauaAhYARDkZJH4A6L_g
Chance Season 2,2017,Filbert St at Stockton St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,EjZGaWxiZXJ0IFN0ICYgU3RvY2t0b24gU3QsIFNhbiBGcmFuY2lzY28sIENBIDk0MTMzLCBVU0EiZiJkChQKEgl_KYcC8YCFgBFrE4C_BiPHYRIUChIJfymHAvGAhYARaxOAvwYjx2EaFAoSCV9b8E7dgIWAEXO3hd4VMD6zGhQKEgl_zKET84CFgBG_plY_ADmq-iIKDVgIiBYV984Jtw
Chance Season 2,2017,20th St between Church and Dolores St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,ChIJPfHyGRd-j4AR5pqrzjn22mQ,ChIJT0aHEBd-j4ARjfRPkA9Hmv8,ChIJC7mHNhZ-j4AR5sETu_e0VkY,ChIJW_IIPTx-j4ARnoQQVsFI0bA,ChIJp3CqeRd-j4ARYI0i8e_kGKY,ChIJSQ8ihDl-j4ARCgEMOpUX91s,ChIJWXgpr4uAhYARpvxmQxVllCo,ChIJXygx1Bh-j4ARL3dQcgudd5A
Chance Season 2,2017,Scott St between Jackson and Clay St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
Chance Season 2,2017,Steiner St between Jackson and Clay St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,ChIJnS-EJM-AhYARYX4zAkEVsP8
Chance Season 2,2017,Lombard St between Hyde and Larkin St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,ChIJTcHeauaAhYARDkZJH4A6L_g
Chance Season 2,2017,Columbus between Filbert and Lombard St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,ChIJ9zVdMfCAhYARctEbu4w0EGw
Chance Season 2,2017,Embarcadero at Vallejo St.,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,ChIJRWYovNyAhYARf9wnfn23Vg0
Chance Season 2,2017,Embarcadero between Bay and Chestnut St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
Chance Season 2,2017,Heron @ Berwick (off 8th and Harrison St),,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,EjI4dGggU3QgJiBIYXJyaXNvbiBTdCwgU2FuIEZyYW5jaXNjbywgQ0EgOTQxMDMsIFVTQSJmImQKFAoSCS9lE5kpfo-AEd46B2Zx-UUXEhQKEgkvZROZKX6PgBHeOgdmcflFFxoUChIJx0YJ3yt-j4ARy40hBGfd7MsaFAoSCSe1QknNf4-AESmmwNYYeLT6IgoNAdKDFhWQ8Am3,EjNCZXJ3aWNrIFBsICYgSGVyb24gU3QsIFNhbiBGcmFuY2lzY28sIENBIDk0MTAzLCBVU0EiZiJkChQKEglZ2f7oKX6PgBEi3ZoJNAMahhIUChIJWdn-6Cl-j4ARIt2aCTQDGoYaFAoSCR9U_-spfo-AEesmNfbsOuW2GhQKEgnbWH7BKX6PgBG0X5-qZoVyFyIKDd35gxYV6PcJtw
Chance Season 2,2017,Duboce between Buena Vista East and Alpine St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
Chance Season 2,2017,Haight between Central and Ashbury St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,ChIJl7C8JFOHhYARfWJOjO4ScCI
Chance Season 2,2017,Mason between Sacramento and California St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
Chance Season 2,2017,Sacramento between Mason and Taylor St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
Chance Season 2,2017,California between Mason and Taylor St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
Chance Season 2,2017,Leavenworth at McAllister St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,EjxMZWF2ZW53b3J0aCBTdCAmIE1jQWxsaXN0ZXIgU3QsIFNhbiBGcmFuY2lzY28sIENBIDk0MTAyLCBVU0EiZiJkChQKEgnTZwknm4CFgBFQY7zGBqYdCBIUChIJ02cJJ5uAhYARUGO8xgamHQgaFAoSCT02TFjsgIWAER22z0pDvNQ4GhQKEglBgcueuoCFgBHpzn-h2AVmAyIKDb3phBYVricJtw
Chance Season 2,2017,Embarcadero between Market to Fillmore St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
Chance Season 2,2017,Coit Tower,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,ChIJAQAAQIyAhYARRN3yIQG4hd4
Chance Season 2,2017,Palace of Fine Arts (3301 Lyon Street),,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,ChIJRb6WFtWGhYARLN9EOlXR2JI
Chance Season 2,2017,Presidio Heights Neighborhood ,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,ChIJDyLYuTGHhYAREbBqvou75WI
Cherish,2002,387 Fair Oaks at 25th Street,,3 Ring Circus Films,Fine Line Features,Finn Taylor,Finn Taylor,Brad Hunt,Robin Tunney,,ChIJo5OPGEB-j4ARMVhCKeol-Ng
Chu Chu and the Philly Flash,1981,Transbay Terminal (Mission Street at 1st Street),"Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time.",Melvin Simon Productions,Columbia Broadcasting System (CBS),David Lowell Rich,Barbara Dana,Alan Arkin,Carol Burnett,,ChIJLwiwJWOAhYARGaOiwPOYeJo,ChIJm_js2XqAhYAR7kiGuH0qUmY,ChIJjX82gWSAhYAR4scc-5egBv4,ChIJSwzl1GSAhYARjoYNZGAvrdA
Chu Chu and the Philly Flash,1981,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",Melvin Simon Productions,Columbia Broadcasting System (CBS),David Lowell Rich,Barbara Dana,Alan Arkin,Carol Burnett,,ChIJN2S4EI2AhYAR9J4Qeh1U8Aw
Chu Chu and the Philly Flash,1981,22nd and Carolina Streets (Potrero Hill),,Melvin Simon Productions,Columbia Broadcasting System (CBS),David Lowell Rich,Barbara Dana,Alan Arkin,Carol Burnett,,EjMyMm5kIFN0ICYgQ2Fyb2xpbmEgU3QsIFNhbiBGcmFuY2lzY28sIENBIDk0MTA3LCBVU0EiZiJkChQKEglPtyEYtX-PgBE741xfGhsM-hIUChIJT7chGLV_j4ARO-NcXxobDPoaFAoSCSuzm_E3fo-AEVz9qc8V06xQGhQKEgkzzWzmyn-PgBENC9C0nvOjCCIKDXZMgRYVsD0Ltw
City of Angels,1998,San Francisco Public Library Main Branch (100 Larkin Street),,Atlas Entertainment,Warner Bros. Pictures,Brad Silberling,Dana Stevens,Nicolas Cage,Meg Ryan,,ChIJd2spnJuAhYARhkuvhLCp3us
Class Action,1991,"Mission Dolores (3321 16th Street, Mission District)","Mission Dolores' official name is Mission San Francisco de Assis. It is the oldest building in San Francisco, built in 1791, and has survived two major earthquakes.",Interscope Communications,Twentieth Century Fox Film Corp.,Michael Apted,Carolyn Shelby,Gene Hackman,Mary Elizabeth Mastrantonio,,ChIJFcynIBl-j4ARhkCe4XekDDs,ChIJUZmBIBl-j4ARa8p78uz8bk0
Class Action,1991,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Interscope Communications,Twentieth Century Fox Film Corp.,Michael Apted,Carolyn Shelby,Gene Hackman,Mary Elizabeth Mastrantonio,,ChIJY-bqepmAhYARSk9Xg_9tcLI,ChIJx0IToLGAj4ARDZRy0wE53Aw,ChIJk0BNgYKChYAR07s__gj4Mkk,ChIJfW9lsm18j4ARlqMzd3GMyew,ChIJHzlSglOEhYARe0AYeMHI1OU,ChIJD68LHxV-hYARbrsIqUJ5v5U,ChIJad3vsFB8j4AR4n-DSE55y6M,ChIJA5jJW0Z4j4ARIbEdb5Pe8t0,ChIJWcg3frGahYARBqZdudAziLQ,ChIJuRZzQYaahYARaPsRcV6pjUY,ChIJ_____yOBj4ARdytYLUBelnI,ChIJq6oaapl-hYAR-xPtXYFCmBo,ChIJFwZtiPB7j4ARnNdxTNWXqzE,ChIJqw8_rIuEhYARzrA5ddcrjbY,ChIJV3vgraZ3j4ARMkp7967XN6w,ChIJ87ubltl5j4ARqSpzSfkE93g,ChIJezVrjzJ5hYARrrwGFehstHY,ChIJbdxdj_N9j4ARpb2vZRn0b-8,ChIJuVRboWSHj4ARTiAZK_acZY8,ChIJN-eISFV6j4ARzKWY-TOJZlE
